Epoch Training Testing
0 54.59166666666667 85.62
1 88.4 90.17
2 90.55666666666667 91.48
3 91.49333333333334 92.24
4 92.08833333333334 92.58
5 92.6 92.93
6 93.04833333333333 93.27
7 93.37333333333333 93.53
8 93.65333333333334 93.71
9 93.975 93.99
10 94.14833333333333 94.14
11 94.395 94.28
12 94.60333333333334 94.37
13 94.75833333333334 94.44
14 94.92833333333333 94.55
15 95.03166666666667 94.68
16 95.15 94.74
17 95.26 94.81
18 95.32 94.92
19 95.435 94.93
20 95.51333333333334 95.04
21 95.58166666666666 95.14
22 95.69833333333334 95.12
23 95.74833333333333 95.17
24 95.82833333333333 95.32
25 95.89666666666666 95.27
26 95.96 95.29
27 96.045 95.28
28 96.115 95.37
29 96.16166666666666 95.35
